City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
144,New Norfolk,AU,53.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
145,Bandarbeyla,SO,78.91,broken clouds,9.4942,50.8122,JABIR HOTEL
146,Ulladulla,AU,59.88,overcast clouds,-35.35,150.4667,Sandpiper Motel
147,Nikolskoye,RU,50.4,light rain,59.7035,30.7861,Tourist House - Sablino
149,Cabo San Lucas,MX,91.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
150,Butaritari,KI,81.75,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
152,Awjilah,LY,75.97,clear sky,29.1081,21.2869,
153,Saint-Michel-Des-Saints,CA,55.94,overcast clouds,46.6834,-73.9159,Motel Du Mont trinity
154,Kidal,ML,84.65,overcast clouds,18.4411,1.4078,
155,Plettenberg Bay,ZA,61.5,broken clouds,-34.0527,23.3716,Thanda Vista B&B
156,Banjar,ID,76.91,broken clouds,-8.19,114.9675,The Hamsa Resort
158,Jalu,LY,75.36,clear sky,29.0331,21.5482,صاحبة الفخامة
159,San Javier,ES,71.31,scattered clouds,37.8063,-0.8374,Hotel Mar Menor
160,Camana,PE,63.75,broken clouds,-16.6228,-72.7111,Hostal Morales
161,East London,ZA,59.4,few clouds,-33.0153,27.9116,Tu Casa
164,Laje,BR,78.87,overcast clouds,-10.1833,-40.9667,NN Pousada
165,Guiratinga,BR,77.88,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
166,Faanui,PF,79.79,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
167,Thinadhoo,MV,83.07,overcast clouds,0.5333,72.9333,
169,Vicuna,CL,66.78,clear sky,-30.0319,-70.7081,Los Mosaicos
170,Sohag,EG,82.8,few clouds,26.557,31.6948,Civil Registry - Sohag 1
171,Cidreira,BR,64.99,overcast clouds,-30.1811,-50.2056,Hotel Castelo
176,Nhulunbuy,AU,84.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
177,Maceio,BR,77.77,overcast clouds,-9.6658,-35.7353,Poutur Pousada
178,Ginir,ET,59.86,overcast clouds,7.1333,40.7,Sura Dare Village
179,Nushki,PK,50.63,clear sky,29.5542,66.0215,Shams hotel
183,Gushikawa,JP,83.43,light rain,26.3544,127.8686,Kirari Guest House
184,Ancona,IT,56.34,light rain,43.55,13.1667,Casa Vandina - B&B
188,Meulaboh,ID,76.17,overcast clouds,4.1363,96.1285,Kost Pria
189,Kavaratti,IN,82.11,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
190,Constitucion,CL,53.69,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
193,Port Elizabeth,ZA,51.1,scattered clouds,-33.918,25.5701,39 On Nile Guest House
195,Vila Velha,BR,67.95,mist,-20.3297,-40.2925,Quality Suites Vila Velha
196,Kaitangata,NZ,53.67,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
198,Mayo,US,69.84,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
199,Madang,PG,80.22,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
200,Simao,CN,64.26,overcast clouds,22.7886,100.9748,Changyu Hotel
201,Mahibadhoo,MV,82.6,broken clouds,3.7833,72.9667,Omadhoo Inn
202,Dandong,CN,51.01,few clouds,40.1292,124.3947,Yiranju Farmstay
203,Pouebo,NC,78.48,few clouds,-20.4,164.5667,RIVÂT LODGE
204,Mayumba,GA,75.42,overcast clouds,-3.432,10.6554,LIKWALE LODGE
206,Luang Prabang,LA,73.53,overcast clouds,19.8856,102.1347,The Apsara
207,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
209,Ranong,TH,79.7,moderate rain,9.9658,98.6348,Tinidee Hotel@Ranong
214,Gimbi,ET,55.78,light rain,9.1667,35.8333,Sam home
215,Cabra,ES,63.9,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
216,Quelimane,MZ,73.6,clear sky,-17.8786,36.8883,Hotel Flamingo
217,Ikom,NG,72.97,overcast clouds,5.9667,8.7063,Reho Farm & Resort
218,Bambous Virieux,MU,71.22,light rain,-20.3428,57.7575,Casa Tia Villa
219,Acarau,BR,79.52,clear sky,-2.8856,-40.12,castelo pizzaria
221,Dorado,PR,81.48,scattered clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
222,Piacabucu,BR,76.42,broken clouds,-10.4056,-36.4344,Piaçabuçu News
223,Wattegama,LK,76.42,overcast clouds,6.7989,81.4808,
224,Nevelsk,RU,50.43,overcast clouds,46.6733,141.8633,Gostinitsa Viktoriya
226,Barra Da Estiva,BR,67.93,scattered clouds,-13.6261,-41.3269,Pousada Central
227,Saint-Denis,FR,56.08,mist,48.9167,2.3333,ibis budget Paris Porte de Montmartre
228,Sioux Lookout,CA,59.38,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
229,Sandeid,NO,51.71,light rain,59.5449,5.8636,Haus Centrum Sandeid Fishing Lodge
230,Mount Gambier,AU,53.8,overcast clouds,-37.8333,140.7667,The Commodore
232,Ningbo,CN,77.59,light rain,29.8782,121.5495,Howard Johnson Plaza Ningbo Hotel
233,Patos,BR,82.29,scattered clouds,-7.0244,-37.28,Hotel JK
234,Charcas,MX,76.35,clear sky,23.1333,-101.1167,Hotel El Malacate
236,Astoria,US,56.55,scattered clouds,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
237,Ambilobe,MG,71.55,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
238,Vila,PT,53.71,broken clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
239,Thoen,TH,74.08,overcast clouds,17.6129,99.2161,Nakornthoen Hotel
240,Sakakah,SA,77.18,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
241,Maple Creek,CA,60.1,scattered clouds,49.9168,-109.4848,Willowbend Campground & Cabins
242,Vila Franca Do Campo,PT,70.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
243,Karmala,IN,74.37,broken clouds,18.4167,75.2,Hotel Ashutosh And Lodge
244,Auki,SB,81.12,overcast clouds,-8.7676,160.7034,Auki Motel
245,Fortuna,US,62.19,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
246,Chipinge,ZW,54.05,overcast clouds,-20.1883,32.6236,Chipinge Breeze Lodge
247,Namibe,AO,68.79,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
251,Hailey,US,55.26,scattered clouds,43.5196,-114.3153,Wood River Inn & Suites
252,Sawtell,AU,68.18,broken clouds,-30.3833,153.1,Island Beach House Sawtell
253,Kalmunai,LK,79.77,light rain,7.4167,81.8167,VS Villa
254,Mar Del Plata,AR,58.08,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
255,Asyut,EG,82.31,broken clouds,27.181,31.1837,Florence Hotel Assiut
256,Kavieng,PG,84.13,broken clouds,-2.5744,150.7967,Nusa Island Retreat
257,Lahaina,US,83.95,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
261,Mahebourg,MU,71.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
263,Souillac,MU,71.37,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
264,Taltal,CL,64.96,clear sky,-25.4,-70.4833,Residencial Karime
265,Beloha,MG,67.46,light rain,-25.1667,45.05,
266,Honiara,SB,84.65,overcast clouds,-9.4333,159.95,Heritage Park Hotel
268,Maxixe,MZ,68.18,scattered clouds,-23.8597,35.3472,Oceano
270,Mansehra,PK,58.12,overcast clouds,34.3333,73.2,Aashiana Hotel Manshera
271,Ternate,ID,83.39,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
274,General Roca,AR,73.8,few clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
275,Eureka,US,61.66,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
279,Monterey,US,78.06,clear sky,36.2505,-121.2516,
281,Grand Gaube,MU,71.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
283,Greymouth,NZ,54.32,moderate rain,-42.4667,171.2,Kingsgate Hotel Greymouth
284,Llanes,ES,55.27,broken clouds,43.4198,-4.7549,Hotel La Paz
