City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
86,Barrow,US,2021-10-11 00:07:17,71.2906,-156.7887,26.62,80,75,8.05,broken clouds
87,Nanortalik,GL,2021-10-11 00:09:07,60.1432,-45.2371,36.41,64,3,1.72,clear sky
88,Tandil,AR,2021-10-11 00:09:07,-37.3217,-59.1332,58.3,73,100,1.01,overcast clouds
89,Wufeng,CN,2021-10-11 00:09:07,27.45,104.8333,47.12,96,100,2.08,overcast clouds
90,Klaksvik,FO,2021-10-11 00:07:06,62.2266,-6.589,43.72,82,98,12.15,overcast clouds
91,Namatanai,PG,2021-10-11 00:09:08,-3.6667,152.4333,84.13,70,31,3.09,light rain
92,Zeya,RU,2021-10-11 00:09:08,53.75,127.2667,41.61,56,4,4.05,clear sky
93,Pangai,TO,2021-10-11 00:09:09,-19.8,-174.35,72.88,84,100,4.25,heavy intensity rain
94,Great Falls,US,2021-10-11 00:04:21,47.5002,-111.3008,59.59,25,1,13.0,clear sky
95,Taquaritinga,BR,2021-10-11 00:09:09,-21.4061,-48.5047,66.63,90,100,7.72,overcast clouds
96,Sisimiut,GL,2021-10-11 00:09:09,66.9395,-53.6735,33.44,80,98,4.85,overcast clouds
97,Bredasdorp,ZA,2021-10-11 00:06:56,-34.5322,20.0403,57.27,78,85,3.29,overcast clouds
98,Itaituba,BR,2021-10-11 00:09:10,-4.2761,-55.9836,85.19,53,87,1.99,overcast clouds
99,Novo Cruzeiro,BR,2021-10-11 00:09:10,-17.4681,-41.8753,63.45,96,89,3.78,overcast clouds
100,Guerrero Negro,MX,2021-10-11 00:09:11,27.9769,-114.0611,75.07,59,0,15.99,clear sky
101,Husavik,IS,2021-10-11 00:06:53,66.0449,-17.3389,34.93,96,100,2.57,light rain
102,Tuatapere,NZ,2021-10-11 00:09:11,-46.1333,167.6833,47.82,95,100,4.21,moderate rain
103,Sitka,US,2021-10-11 00:09:12,57.0531,-135.33,49.89,76,75,3.44,broken clouds
104,Gari,RU,2021-10-11 00:09:12,59.4307,62.3497,25.68,74,80,6.04,broken clouds
105,Chuy,UY,2021-10-11 00:09:12,-33.6971,-53.4616,60.6,78,97,13.8,overcast clouds
106,Hermanus,ZA,2021-10-11 00:09:13,-34.4187,19.2345,63.9,62,98,7.49,overcast clouds
107,Bengkulu,ID,2021-10-11 00:09:13,-3.8004,102.2655,76.06,90,92,5.26,overcast clouds
108,Cherskiy,RU,2021-10-11 00:09:13,68.75,161.3,10.99,91,71,5.14,broken clouds
109,Saskylakh,RU,2021-10-11 00:09:14,71.9167,114.0833,23.13,96,100,8.63,overcast clouds
110,Stavern,NO,2021-10-11 00:09:14,59.0,10.0333,50.74,90,26,22.32,scattered clouds
111,Waverly,US,2021-10-11 00:07:49,42.7392,-84.6208,73.33,85,1,5.75,clear sky
112,Bac Lieu,VN,2021-10-11 00:09:14,9.285,105.7244,80.24,86,100,9.84,light rain
113,Nueva Concepcion,GT,2021-10-11 00:09:15,14.2,-91.3,85.17,91,99,4.76,overcast clouds
114,Humaita,BR,2021-10-11 00:09:15,-7.5061,-63.0208,81.82,60,38,1.81,scattered clouds
115,Nabire,ID,2021-10-11 00:09:16,-3.3667,135.4833,83.75,75,94,0.58,overcast clouds
116,Yulara,AU,2021-10-11 00:09:16,-25.2406,130.9889,62.44,51,2,17.27,clear sky
117,Mirnyy,RU,2021-10-11 00:09:16,62.5353,113.9611,29.28,79,97,14.25,overcast clouds
118,Lagoa,PT,2021-10-11 00:08:10,39.05,-27.9833,70.39,89,100,21.79,overcast clouds
119,Tiksi,RU,2021-10-11 00:09:17,71.6872,128.8694,29.21,97,100,8.1,light snow
120,Kapaa,US,2021-10-11 00:08:01,22.0752,-159.319,84.18,71,20,5.01,light rain
121,Rawson,AR,2021-10-11 00:09:17,-43.3002,-65.1023,61.97,52,18,5.68,few clouds
122,Egvekinot,RU,2021-10-11 00:09:17,66.3167,-179.1667,20.71,83,91,6.22,overcast clouds
123,Victoria,HK,2021-10-11 00:09:18,22.2855,114.1577,83.32,80,87,1.01,overcast clouds
124,Kearney,US,2021-10-11 00:06:27,40.6995,-99.0815,64.96,44,1,3.0,clear sky
125,Saldanha,ZA,2021-10-11 00:09:18,-33.0117,17.9442,61.7,49,89,8.16,overcast clouds
126,West Wendover,US,2021-10-11 00:05:57,40.7391,-114.0733,60.01,27,0,6.76,clear sky
127,Lazaro Cardenas,MX,2021-10-11 00:09:19,17.9583,-102.2,81.27,84,69,7.09,broken clouds
128,Miandrivazo,MG,2021-10-11 00:09:19,-19.5167,45.4667,76.37,69,34,2.44,scattered clouds
129,Katsuura,JP,2021-10-11 00:09:05,35.1333,140.3,80.19,68,48,14.76,scattered clouds
130,Ancud,CL,2021-10-11 00:09:20,-41.8697,-73.8203,50.43,88,100,6.26,overcast clouds
131,Zhigansk,RU,2021-10-11 00:09:20,66.7697,123.3711,32.5,97,100,13.33,overcast clouds
132,Najran,SA,2021-10-11 00:09:21,17.4924,44.1277,70.18,30,26,4.38,scattered clouds
133,Qaanaaq,GL,2021-10-11 00:06:15,77.484,-69.3632,29.79,86,100,8.39,overcast clouds
134,Sabinas,MX,2021-10-11 00:09:21,27.85,-101.1167,93.52,30,3,8.03,clear sky
135,Sao Filipe,CV,2021-10-11 00:09:21,14.8961,-24.4956,80.28,73,0,3.51,clear sky
136,Areosa,PT,2021-10-11 00:09:22,41.7178,-8.8571,69.24,53,65,7.54,broken clouds
137,Lavrentiya,RU,2021-10-11 00:09:22,65.5833,-171.0,30.67,79,54,3.47,broken clouds
138,Sayyan,YE,2021-10-11 00:09:23,15.1718,44.3244,59.34,42,73,9.35,broken clouds
139,Georgetown,MY,2021-10-11 00:06:17,5.4112,100.3354,79.9,88,20,0.0,light rain
140,Tubuala,PA,2021-10-11 00:09:23,9.5167,-79.0333,80.33,84,100,3.85,overcast clouds
141,Provideniya,RU,2021-10-11 00:09:23,64.3833,-173.3,33.91,80,90,6.71,overcast clouds
142,Hasaki,JP,2021-10-11 00:09:24,35.7333,140.8333,77.29,67,35,15.12,scattered clouds
143,Lebu,CL,2021-10-11 00:08:14,-37.6167,-73.65,50.52,88,9,13.24,clear sky
144,New Norfolk,AU,2021-10-11 00:09:24,-42.7826,147.0587,53.92,37,85,4.72,overcast clouds
145,Bandarbeyla,SO,2021-10-11 00:09:25,9.4942,50.8122,78.91,86,82,21.9,broken clouds
146,Ulladulla,AU,2021-10-11 00:09:25,-35.35,150.4667,59.88,56,100,11.81,overcast clouds
147,Nikolskoye,RU,2021-10-11 00:09:25,59.7035,30.7861,50.4,70,12,8.59,light rain
148,Ust-Tsilma,RU,2021-10-11 00:09:26,65.441,52.1498,34.34,99,100,3.62,light rain
149,Cabo San Lucas,MX,2021-10-11 00:09:26,22.8909,-109.9124,91.62,72,1,1.01,clear sky
150,Butaritari,KI,2021-10-11 00:06:16,3.0707,172.7902,81.75,65,31,8.68,scattered clouds
151,Srednekolymsk,RU,2021-10-11 00:09:26,67.45,153.6833,19.76,76,29,2.91,scattered clouds
152,Awjilah,LY,2021-10-11 00:09:27,29.1081,21.2869,75.97,30,0,7.2,clear sky
153,Saint-Michel-Des-Saints,CA,2021-10-11 00:09:27,46.6834,-73.9159,55.94,96,96,4.23,overcast clouds
154,Kidal,ML,2021-10-11 00:09:27,18.4411,1.4078,84.65,10,98,9.4,overcast clouds
155,Plettenberg Bay,ZA,2021-10-11 00:09:28,-34.0527,23.3716,61.5,52,69,5.7,broken clouds
156,Banjar,ID,2021-10-11 00:09:28,-8.19,114.9675,76.91,68,62,5.93,broken clouds
157,Mezhdurechensk,RU,2021-10-11 00:09:29,53.6942,88.0603,42.42,90,100,7.49,light rain
158,Jalu,LY,2021-10-11 00:09:29,29.0331,21.5482,75.36,32,0,6.89,clear sky
159,San Javier,ES,2021-10-11 00:09:29,37.8063,-0.8374,71.31,66,40,8.05,scattered clouds
160,Camana,PE,2021-10-11 00:09:30,-16.6228,-72.7111,63.75,85,80,7.61,broken clouds
161,East London,ZA,2021-10-11 00:09:30,-33.0153,27.9116,59.4,68,13,18.57,few clouds
162,Turukhansk,RU,2021-10-11 00:09:30,65.8167,87.9833,25.88,75,100,11.32,overcast clouds
163,Beringovskiy,RU,2021-10-11 00:09:31,63.05,179.3167,28.53,85,96,12.01,overcast clouds
164,Laje,BR,2021-10-11 00:09:31,-10.1833,-40.9667,78.87,29,89,2.86,overcast clouds
165,Guiratinga,BR,2021-10-11 00:09:31,-16.3494,-53.7583,77.88,72,89,7.52,overcast clouds
166,Faanui,PF,2021-10-11 00:09:32,-16.4833,-151.75,79.79,74,44,12.84,scattered clouds
167,Thinadhoo,MV,2021-10-11 00:09:32,0.5333,72.9333,83.07,67,98,15.23,overcast clouds
168,Olafsvik,IS,2021-10-11 00:09:32,64.8945,-23.7142,40.32,60,19,1.39,few clouds
169,Vicuna,CL,2021-10-11 00:09:33,-30.0319,-70.7081,66.78,31,2,2.13,clear sky
170,Sohag,EG,2021-10-11 00:09:33,26.557,31.6948,82.8,21,21,5.44,few clouds
171,Cidreira,BR,2021-10-11 00:09:33,-30.1811,-50.2056,64.99,80,99,20.2,overcast clouds
172,Pangnirtung,CA,2021-10-11 00:09:34,66.1451,-65.7125,28.4,100,75,0.0,fog
173,Okha,RU,2021-10-11 00:09:34,53.5739,142.9478,46.76,91,100,29.55,moderate rain
174,Ostrovnoy,RU,2021-10-11 00:09:34,68.0531,39.5131,42.91,94,100,3.96,overcast clouds
175,Norman Wells,CA,2021-10-11 00:09:35,65.282,-126.8329,31.03,87,96,6.98,overcast clouds
176,Nhulunbuy,AU,2021-10-11 00:09:35,-12.2333,136.7667,84.81,65,40,10.36,scattered clouds
177,Maceio,BR,2021-10-11 00:06:19,-9.6658,-35.7353,77.77,77,100,11.41,overcast clouds
178,Ginir,ET,2021-10-11 00:09:36,7.1333,40.7,59.86,82,95,2.13,overcast clouds
179,Nushki,PK,2021-10-11 00:09:36,29.5542,66.0215,50.63,25,0,1.07,clear sky
180,Krasnyy Gulyay,RU,2021-10-11 00:09:36,54.0282,48.3333,41.27,77,73,4.18,broken clouds
181,Verkhnevilyuysk,RU,2021-10-11 00:09:37,63.4453,120.3167,31.21,87,99,13.33,light snow
182,Temnikov,RU,2021-10-11 00:09:37,54.6302,43.2148,41.22,92,16,3.83,few clouds
183,Gushikawa,JP,2021-10-11 00:09:37,26.3544,127.8686,83.43,86,1,21.85,light rain
184,Ancona,IT,2021-10-11 00:06:12,43.55,13.1667,56.34,56,100,5.01,light rain
185,Aksu,CN,2021-10-11 00:08:31,41.1231,80.2644,48.38,31,100,1.16,overcast clouds
186,Esso,RU,2021-10-11 00:09:38,55.9333,158.7,31.1,84,100,7.94,overcast clouds
187,Yelizovo,RU,2021-10-11 00:09:38,53.1873,158.3805,39.34,100,90,22.37,shower sleet
188,Meulaboh,ID,2021-10-11 00:09:39,4.1363,96.1285,76.17,86,100,3.0,overcast clouds
189,Kavaratti,IN,2021-10-11 00:09:39,10.5669,72.642,82.11,81,99,15.12,overcast clouds
190,Constitucion,CL,2021-10-11 00:09:39,-35.3333,-72.4167,53.69,82,0,12.17,clear sky
191,Ust-Nera,RU,2021-10-11 00:09:40,64.5667,143.2,26.2,60,72,3.36,broken clouds
192,Xianyang,CN,2021-10-11 00:09:40,34.3378,108.7026,47.66,81,100,2.21,overcast clouds
193,Port Elizabeth,ZA,2021-10-11 00:05:57,-33.918,25.5701,51.1,76,38,10.83,scattered clouds
194,Vestmanna,FO,2021-10-11 00:09:41,62.1564,-7.1664,41.92,93,90,1.14,drizzle
195,Vila Velha,BR,2021-10-11 00:09:41,-20.3297,-40.2925,67.95,100,90,2.3,mist
196,Kaitangata,NZ,2021-10-11 00:09:41,-46.2817,169.8464,53.67,76,100,5.75,overcast clouds
197,Mugur-Aksy,RU,2021-10-11 00:09:42,50.35,90.5,22.73,75,100,4.79,overcast clouds
198,Mayo,US,2021-10-11 00:09:42,38.8876,-76.5119,69.84,91,90,5.99,overcast clouds
199,Madang,PG,2021-10-11 00:09:42,-5.2246,145.7966,80.22,77,100,2.77,overcast clouds
200,Simao,CN,2021-10-11 00:09:43,22.7886,100.9748,64.26,90,100,2.98,overcast clouds
201,Mahibadhoo,MV,2021-10-11 00:09:43,3.7833,72.9667,82.6,77,73,17.07,broken clouds
202,Dandong,CN,2021-10-11 00:09:43,40.1292,124.3947,51.01,66,11,7.05,few clouds
203,Pouebo,NC,2021-10-11 00:09:44,-20.4,164.5667,78.48,53,19,10.89,few clouds
204,Mayumba,GA,2021-10-11 00:09:44,-3.432,10.6554,75.42,86,100,6.96,overcast clouds
205,Kautokeino,NO,2021-10-11 00:09:44,69.0125,23.0412,37.71,98,100,4.59,overcast clouds
206,Luang Prabang,LA,2021-10-11 00:09:45,19.8856,102.1347,73.53,100,100,1.21,overcast clouds
207,San Andres,CO,2021-10-11 00:09:45,12.5847,-81.7006,84.22,79,75,9.22,broken clouds
208,Megion,RU,2021-10-11 00:09:45,61.0296,76.1136,26.62,73,12,7.67,few clouds
209,Ranong,TH,2021-10-11 00:09:46,9.9658,98.6348,79.7,88,98,15.68,moderate rain
210,Qaqortoq,GL,2021-10-11 00:09:29,60.7167,-46.0333,30.7,50,19,3.53,few clouds
211,Vaux-Sur-Sure,BE,2021-10-11 00:09:46,49.9115,5.5744,46.65,95,78,3.98,broken clouds
212,Vostok,RU,2021-10-11 00:09:47,46.4856,135.8833,38.52,82,100,14.34,overcast clouds
213,Ayan,RU,2021-10-11 00:09:47,56.45,138.1667,40.71,63,100,5.77,overcast clouds
214,Gimbi,ET,2021-10-11 00:09:47,9.1667,35.8333,55.78,96,100,1.45,light rain
215,Cabra,ES,2021-10-11 00:09:48,37.4725,-4.4421,63.9,64,95,3.11,overcast clouds
216,Quelimane,MZ,2021-10-11 00:09:48,-17.8786,36.8883,73.6,83,3,7.18,clear sky
217,Ikom,NG,2021-10-11 00:09:48,5.9667,8.7063,72.97,98,100,0.83,overcast clouds
218,Bambous Virieux,MU,2021-10-11 00:09:49,-20.3428,57.7575,71.22,92,97,8.61,light rain
219,Acarau,BR,2021-10-11 00:09:49,-2.8856,-40.12,79.52,76,6,17.85,clear sky
220,Coihaique,CL,2021-10-11 00:09:49,-45.5752,-72.0662,49.95,71,75,3.44,light rain
221,Dorado,PR,2021-10-11 00:09:50,18.4588,-66.2677,81.48,97,26,11.07,scattered clouds
222,Piacabucu,BR,2021-10-11 00:09:50,-10.4056,-36.4344,76.42,79,74,10.89,broken clouds
223,Wattegama,LK,2021-10-11 00:09:50,6.7989,81.4808,76.42,78,100,6.85,overcast clouds
224,Nevelsk,RU,2021-10-11 00:09:51,46.6733,141.8633,50.43,63,97,24.16,overcast clouds
225,Talaya,RU,2021-10-11 00:09:51,61.3833,152.75,16.83,67,4,1.36,clear sky
226,Barra Da Estiva,BR,2021-10-11 00:09:51,-13.6261,-41.3269,67.93,80,29,8.7,scattered clouds
227,Saint-Denis,FR,2021-10-11 00:09:52,48.9167,2.3333,56.08,90,90,3.44,mist
228,Sioux Lookout,CA,2021-10-11 00:06:26,50.1001,-91.917,59.38,93,94,8.19,overcast clouds
229,Sandeid,NO,2021-10-11 00:09:52,59.5449,5.8636,51.71,86,98,13.56,light rain
230,Mount Gambier,AU,2021-10-11 00:09:53,-37.8333,140.7667,53.8,49,93,7.85,overcast clouds
231,Osijek,HR,2021-10-11 00:07:23,45.5511,18.6939,48.11,87,90,11.5,light intensity drizzle
232,Ningbo,CN,2021-10-11 00:09:53,29.8782,121.5495,77.59,86,33,5.77,light rain
233,Patos,BR,2021-10-11 00:06:01,-7.0244,-37.28,82.29,56,34,12.86,scattered clouds
234,Charcas,MX,2021-10-11 00:09:54,23.1333,-101.1167,76.35,34,4,5.26,clear sky
235,Bonnyville,CA,2021-10-11 00:09:54,54.2668,-110.735,44.76,81,98,8.39,overcast clouds
